code,display_code,title,credits,area,prerequisites,corequisites,is_bundle
WRI 395,WRI 395,Special Topics in Professional Writing,3,Writing,WRI 276;ENG 2XX,,false
WRI 401,WRI 401,Classical Rhetoric,3,Writing,ENG 2XX,,false
WRI 402,WRI 402,Literary Theory and Criticism,3,Writing,ENG 2XX,,false
WRI 418,WRI 418,Advanced Writing,3,Writing,WRI 276;ENG 2XX,,false
WRI 453,WRI 453,Creative Writing: Non-fiction,3,Writing,WRI 276;ENG 2XX,,false
WRI 475,WRI 475,Writing for Publication,3,Writing,WRI 276;ENG 2XX,,false
WRI 491,WRI 491,The English Language,3,Writing,ENG 2XX;ENG 491,,false
WRI 492,WRI 492,Playwriting,3,Writing,THR 492,,false
WRI 495,WRI 495,Special Studies in Writing,3,Writing,WRI 276;ENG 2XX,,false
WRI 497,WRI 497,Writing Internship,1-6,Writing,ENG 2XX;WRI 2XX,,false
WRI 498,WRI 498,Synthesis Seminar,3,Writing,,,false
WRI 501,WRI 501,Studies in Writing,3,Writing,,,false
